While I Can, src/data_access/WhileICan.mp3
Highway to Hell, src/Songs/AC_DC - Highway to Hell (Official Video).mp3
Into You, src/Songs/Ariana Grande - Into You (Official Audio).mp3
Wake Me Up, src/Songs/Avicii - Wake Me Up (Official Video).mp3
Break from Toronto, src/Songs/Break from Toronto.mp3
We Don't Talk Anymore (feat. Selena Gomez), src/Songs/Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video].mp3
No Guidance (feat. Drake), src/Songs/Chris Brown - No Guidance (Audio) ft. Drake.mp3
Creepin, src/Songs/Creepin.mp3
Everlong, src/Songs/Foo Fighters - Everlong (Official HD Video).mp3
Sweet Child O' Mine, src/Songs/Foo Fighters - Everlong (Official HD Video).mp3
Heartless, src/Songs/Heartless.mp3
Work Out, src/Songs/J. Cole - Work Out (Audio).mp3
Low Down, src/Songs/Lil Baby - Low Down (Music Video).mp3
Poison, src/Songs/Poison.mp3
I Wanna Be Sedated, src/Songs/Ramones - I Wanna Be Sedated (Official Music Video).mp3
Closer, src/Songs/The Chainsmokers - Closer (Official Video) ft. Halsey.mp3
YOSEMITE, src/Songs/Travis Scott - YOSEMITE (Audio).mp3